Average absorption coefficient, 1/m, Cu 100%, 6 bands P1 model
temperature,K               pressure,atm                Lambda(nm) 10-85            85-102                      102-113                     113-180                     180-1200                    1200-4500                   
9900                        1                           949.520138071927            101.199077985692            17.2271811031036            0.786780545524846           0.0545555188158214          0.167228579019925           
10200                       1                           911.242298253555            101.614709625766            18.9103235670474            0.959803675600237           0.0672483937698526          0.233455199766415           
10500                       1                           876.638216234368            101.626972891148            20.9871883427799            1.14922757331561            0.0833409711154367          0.312226026120499           
10800                       1                           839.421078315892            101.603492965442            22.6994276746547            1.34339736361406            0.104854161896041           0.441641192783902           
11100                       1                           794.28117938296             101.611434758292            23.6132752086408            1.53890365800198            0.130205093178669           0.636661085359467           
11400                       1                           743.535756490322            101.681980686027            24.4392210530847            1.73514390934921            0.155849531844359           0.8684542326347             
11700                       1                           693.078725937456            101.526282160988            25.4060409635874            1.92697432747014            0.179056993524257           1.11874273441747            
12000                       1                           647.755928854023            100.66806037796             26.4019481511787            2.10544025618374            0.201717629849685           1.3939408358994             
12300                       1                           604.78360201289             98.6286666270114            26.9937124405553            2.26251911814823            0.227313889979766           1.70184170475805            
12600                       1                           558.063706213588            95.2206804120119            26.7371616090869            2.40623877155787            0.258654144735573           2.04058903906123            
12900                       1                           504.836455356781            91.7409524626423            25.8324430820234            2.55715922842947            0.29328580640289            2.40307478267286            
13200                       1                           452.068633367578            88.9621707978519            24.9000676798713            2.72335866509862            0.32628914371491            2.78058423715366            
13500                       1                           406.577680365716            85.1804005086514            24.1815603926375            2.86564665047025            0.352730247351557           3.15867040844519            
13800                       1                           366.223004238701            78.611693354425             23.516322149977             2.93649713067877            0.368473117900405           3.52156490837837            
14100                       1                           326.379090457511            70.2475866733935            22.660413551517             2.92752998887212            0.374189374966214           3.85354453612031            
14400                       1                           285.609902950518            62.5730365955897            21.2677820513827            2.86093076181956            0.372342507104071           4.13944731975213            
14700                       1                           245.564183795422            56.7325830869118            19.2502417767867            2.75969654679872            0.365396086717778           4.36449119352017            
15000                       1                           208.298267081963            51.5562118994314            17.1825651788824            2.64568678037466            0.35529884828004            4.51522444796655            
15300                       1                           176.277871624031            46.0234372111237            15.5645130229936            2.52795839797991            0.342901783225582           4.5930855149031             
15600                       1                           150.228210835341            40.6171843863791            14.1912289493972            2.40750508704559            0.328914936550398           4.60889090786103            
15900                       1                           126.794428553329            36.0460316657908            12.7663243593899            2.28519470331115            0.314048353250484           4.57360349081093            
16200                       1                           103.564964159717            32.0340434255431            11.3605067070934            2.16189494409322            0.298936700616869           4.49805946663524            
16500                       1                           83.7157167705716            27.9738130196596            10.1042052097315            2.0380988627569             0.283796726087327           4.39239278569507            
16800                       1                           70.3525143535835            23.9887746770573            8.94057909135589            1.91312276166913            0.268701159533838           4.26649539812608            
17100                       1                           61.1488726297525            20.6397278521977            7.80889728269583            1.78605250214736            0.253721537550833           4.13025589676981            
17400                       1                           52.671771967443             17.9844059856091            6.82246219725162            1.65597394550903            0.238792211981792           3.99020213106841            
17700                       1                           44.060647638376             15.5894250232575            6.07725351147773            1.52241209090667            0.223576097019207           3.84310951935907            
18000                       1                           35.9825342420536            13.259489839047             5.36814823685694            1.38862898724214            0.20770421042646            3.68399449229554            
18300                       1                           29.2735084865929            11.3488037518875            4.53307279023674            1.25977539059293            0.190837889502721           3.50787348053158            
18600                       1                           24.591226988833             10.0423474529109            3.94566241585498            1.14101663793036            0.173488917696075           3.31028897458194            
18900                       1                           21.3495989460552            8.97335814053705            3.49183561161746            1.03635795429595            0.157114423881235           3.09814902398425            
19200                       1                           18.5755781160346            7.81336896178492            2.96252437274568            0.944771921949381           0.143085300914156           2.88933391775311            
19500                       1                           15.7753659681178            6.66023094122007            2.59328063328639            0.86386676640094            0.131618472533842           2.70217131026588            
19800                       1                           13.1633955677485            5.70480008776549            2.29555278033217            0.791279812335937           0.122347645798265           2.55361882266805            
20100                       1                           11.0027328332067            4.99014770128782            2.01355977198307            0.725465298104544           0.114902025309635           2.4396894116282             
20400                       1                           9.37516848289255            4.3957632328912             1.77115907289003            0.665785533188788           0.108952910757168           2.3400421690602             
20700                       1                           8.18669814316423            3.84742922230473            1.56028634602361            0.611650256229697           0.104354213119831           2.23390529099875            
21000                       1                           7.31672910978262            3.36461963919376            1.36289893628632            0.562491961863629           0.101009349561813           2.10836276631699            
21300                       1                           6.62451828025735            2.96909697686447            1.18794361828309            0.517814620964879           0.0988217381501952          1.97517351064404            
21600                       1                           5.97297222452299            2.64121257162534            1.05126691176245            0.477136201471953           0.0976947969520574          1.85092848651346            
21900                       1                           5.32399933136911            2.34592755526045            0.943989812907977           0.439974892494539           0.0975197113809403          1.74878739564657            
22200                       1                           4.73508372527399            2.06431604954351            0.850062154990044           0.405929403070524           0.0981074856027715          1.66702490193733            
22500                       1                           4.26230894615081            1.81750519453656            0.763267162946389           0.37479836802265            0.0992368308588574          1.59988031395936            
22800                       1                           3.90214451139072            1.62120214657924            0.684540586068198           0.346410923356081           0.100686369688682           1.54159286668952            
23100                       1                           3.61352196245725            1.46016929200094            0.614847646639364           0.32063005711569            0.102292945558405           1.48664186857074            
23400                       1                           3.36339262765902            1.31405812624398            0.554480504077034           0.297491605860209           0.104190677984222           1.4324879835699             
23700                       1                           3.14368047471867            1.17160138053142            0.503516770374833           0.277086430777809           0.106608321397783           1.37860983117335            
24000                       1                           2.95085206501672            1.04407990841624            0.461361265900861           0.259505416297927           0.109762744881361           1.32452417585588            
24300                       1                           2.7852100849673             0.945205823391865           0.425305866940255           0.244751995137024           0.113736617630948           1.26981871719154            
24600                       1                           2.65410567951175            0.873269941582428           0.392265436032573           0.232302680224786           0.118528087313995           1.21607084491383            
24900                       1                           2.56282144431669            0.814533368283225           0.360784989220427           0.221437593886356           0.124131678424688           1.16706966374259            
25200                       1                           2.49812317808024            0.759101451291864           0.331651459838179           0.211475066470336           0.130359684402238           1.12671977430487            
25500                       1                           2.44012508125635            0.707418361719162           0.305809562547664           0.202061416264216           0.13671324508298            1.09892201754544            
25800                       1                           2.3843560260291             0.661418658770478           0.283680952057226           0.193008726855715           0.142663074728013           1.08536381588792            
26100                       1                           2.3402305699768             0.622513132018726           0.264726217844759           0.184131126927337           0.147760927660415           1.08179394709468            
26400                       1                           2.31765831382161            0.591913323012163           0.24830854158864            0.175341887159304           0.152189659875786           1.08297556519293            
26700                       1                           2.32395375597064            0.56936271726878            0.233888921420965           0.166750443409013           0.15642808454406            1.08367182420984            
27000                       1                           2.35204325739448            0.550960535255149           0.221010345667801           0.158489282752601           0.160956715626587           1.07864587817261            
27300                       1                           2.38989494481438            0.532449154009059           0.209218337381434           0.15065437763473            0.166237454376508           1.06268092371714            
27600                       1                           2.42694813710077            0.515156572484785           0.198087891151168           0.143195641974155           0.172210125913217           1.03545684852199            
27900                       1                           2.46017765215028            0.50661969791417            0.187559994239798           0.136026475058153           0.178234221979309           1.00791531801678            
28200                       1                           2.48949836216033            0.513828680521673           0.177823359124246           0.129061313940308           0.183638929268922           0.991867541692858           
28500                       1                           2.52226893645895            0.53179558423373            0.169071380979016           0.122395108653202           0.187764785825963           0.989390555760633           
28800                       1                           2.57114081427161            0.547126580035186           0.161441223397985           0.116507700967162           0.190379853485446           0.995483438322247           
29100                       1                           2.64125800290208            0.554749205956553           0.154845123652523           0.111907060401872           0.191799730857025           1.00487906940307            
29400                       1                           2.72565074388008            0.559059247464419           0.149139087433375           0.108836753552613           0.192375832047789           1.01000747643067            
29700                       1                           2.81627282068547            0.564946922551319           0.144179120431287           0.107361383675208           0.19245957116483            1.00107552736176            
30000                       1                           2.90507801679812            0.57730244920979            0.139821228337003           0.107542171119145           0.19240236231524            0.968199446438494           
